customer_id,customer_name,gender,age,city,state,signup_date,loyalty_tier,customer_status,annual_spend
100001,Nandini Shinde,Female,54,Indore,Madhya Pradesh,12-06-2023,Regular,Active,16515.62
100002,Pallavi Ghosh,FEMALE,41,Mumbai,Maharashtra,11-01-2021,Silver,Inactive,98509.42
100003,Vishal Srivastava,F,55,Pune,Maharashtra,24-02-2019,Silver,Inactive,7707.72
100004,Rahul Sen,Female,27,Delhi,Delhi,02-05-2020,Regular,Active,8848.62
100005,Rekha Singh,F,68,Hyderabad,Telangana,23-01-2024,Silver,Inactive,127193.74
100006,Anjali Varma,Other,69,Lucknow,Uttar Pradesh,14-02-2023,Silver,Blocked,51514.58
100007,Shruti Tiwari,Male,41,Bangalore,Karnataka,26-02-2025,Silver,Active,185531.95
100008,Prakash Chettiar,Male,65,Ahmedabad,Gujarat,24-10-2023,Platinum,Inactive,43558.95
100009,Kaushik Jadhav,Male,60,Visakhapatnam,Andhra Pradesh,05-04-2022,Gold,Active,154404.98
100010,Archana Rawat,FEMALE,64,Kolkata,West Bengal,08-04-2019,Gold,Active,12384.89
100011,Vikram Negi,Male,-5,Noida,Uttar Pradesh,14-03-2021,Gold,Active,182978.33
100012,Sapna Jadhav,F,40,ahmedabad,Gujarat,28-04-2019,Regular,Active,70557.24
100013,Abhishek Sharma,Female,60,Chennai,Tamil Nadu,23-09-2019,Silver,Active,136914.13
100014,Ganesh Pillai,male,39,Gurugram,Haryana,05-09-2021,Silver,Active,173852.98
100015,Aditya Bisht,Female,61,Delhi,Delhi,14-11-2024,Regular,Active,143125.02
100016,Kiran Bisht,Female,20,Indore,Madhya Pradesh,20-01-2020,Silver,Blocked,69132
100017,Ganesh Mandal,Male,44,Delhi,Delhi,10-10-2021,Regular,Invalid,28509.25
100018,Tushar Mukherjee,Other,66,Delhi,Delhi,04-10-2023,Regular,Active,195153.52
100019,Priya Mishra,Male,56,Noida,Uttar Pradesh,08-10-2022,Regular,Active,12333.6
100020,Akash Jain,Male,61,Hyderabad,Telangana,10-12-2020,Regular,Inactive,165643.04
100021,Vijay Pawar,male,23,Ahmedabad,Gujarat,19-09-2021,Regular,Inactive,29378.17
100022,Meera Chauhan,Female,67,Hyderabad,Telangana,18-09-2022,Regular,Active,52122.78
100023,Kartik Pandey,Male,74,Noida,Uttar Pradesh,04-10-2020,Silver,Active,
100024,Sanjay Krishnan,Male,56,Thiruvananthapuram,Kerala,26-01-2024,Regular,Active,85758.46
100025,Arjun Chettiar,male,27,Kolkata,West Bengal,12-08-2022,Silver,Active,97067.25
100026,Ajay Naidu,Female,46,Bangalore,Karnataka,28-11-2019,Regular,Active,63900.31
100027,Amit Hegde,Female,69,Chennai,Tamil Nadu,22-06-2022,Platinum,Active,63583.57
100028,Arjun Yadav,Male,18,Jaipur,Rajasthan,25-02-2024,Regular,Active,142341.18
100029,Sujata Chettiar,Male,33,Ahmedabad,Gujarat,08-07-2022,Regular,Active,20559.73
100030,Suresh Yadav,Female,41,Delhi,Delhi,11-11-2019,Silver,Active,144871.13
100031,Priya Yadav,Female,61,Jaipur,Rajasthan,21-02-2019,Silver,Active,129779.2
100032,Kavya Singh,Male,62,Gurugram,,12-04-2020,Regular,Active,158958.27
100033,Neha More,Male,18,Pune,Maharashtra,26-11-2019,Gold,Active,52278.57
100034,Sanjay Das,Female,25,Visakhapatnam,Andhra Pradesh,21-04-2020,Silver,Active,150141.67
100035,Madhuri Sen,M,66,Thiruvananthapuram,Kerala,05-03-2023,Regular,Active,109121.89
100036,Naveen Gupta,Male,61,Jaipur,Rajasthan,09-10-2019,Gold,Inactive,35593.8
100037,Amit Kulkarni,Male,69,Gurugram,Haryana,23-02-2020,Regular,Active,120392.61
100038,Ravi Bose,Male,34,Hyderabad,Telangana,01-06-2024,Regular,Active,155992.23
100039,Sujata Shukla,Female,59,Jaipur,Rajasthan,11-01-2021,Regular,Blocked,197572.33
100040,Sunita Nath,Female,56,Pune,Maharashtra,17-08-2020,Regular,Active,26092.35
100041,Kaushik Chaudhary,Female,46,Gurugram,Haryana,21-05-2024,Silver,Active,158116.7
100042,Lata Nath,Female,46,Mumbai,Maharashtra,01-07-2024,Regular,Inactive,158210.22
100043,Tarun Pillai,Female,24,Thiruvananthapuram,Kerala,07-07-2022,Regular,Invalid,40423.19
100044,Ramesh Gaikwad,Male,73,Pune,Maharashtra,21-06-2024,Silver,Active,167916.45
100045,Kartik Joshi,Female,28,Pune,,11-11-2019,Silver,Active,136811.92
100046,Abhishek Chaudhary,Male,71,Visakhapatnam,Andhra Pradesh,31-05-2019,Regular,Active,167041.37
100047,Deepak Gaikwad,Female,67,Noida,Uttar Pradesh,18-08-2021,Platinum,Active,166257.57
100048,Bharti Dubey,Male,38,Thiruvananthapuram,Kerala,24-01-2021,Platinum,Active,147941.27
100049,Manoj Varma,FEMALE,75,Indore,Madhya Pradesh,02-06-2019,Silver,Active,119847.71
100050,Ravi Rawat,Male,42,MUMBAI,Maharashtra,10-04-2024,Silver,Active,155146.43
100051,Shyam Pawar,F,52,Ahmedabad,Gujarat,21-12-2020,Silver,Active,178461.05
100052,Pooja Bose,Male,74,Kolkata,West Bengal,12-05-2024,Regular,Active,141469.18
100053,Geeta Pawar,Male,28,Lucknow,Uttar Pradesh,29-07-2021,Regular,Active,49503.89
100054,Hema Patel,Female,59,Lucknow,Uttar Pradesh,13-01-2022,,Active,138778.89
100055,Sudha Sharma,Male,44,Thiruvananthapuram,Kerala,11-10-2023,GOLD,Active,55155.9
100056,Meera Pawar,Male,52,Pune,Maharashtra,03-07-2020,Regular,Active,126870.82
100057,Vikram Banerjee,Female,70,Mumbai,Maharashtra,30-12-2021,Silver,Invalid,7528.91
100058,Girish Chatterjee,Female,45,Gurugram,Haryana,21-04-2023,Regular,Inactive,125209.95
100059,Neha Singh,F,68,Delhi,Delhi,10-01-2019,Silver,Active,37970.22
100060,Sridhar Srivastava,Male,48,Jaipur,Rajasthan,02-06-2019,Gold,Active,57950.04
100061,Vikram Banerjee,Male,53,Mumbai,Maharashtra,30-03-2019,Regular,active,170586.67
100062,Tanvi Mukherjee,FEMALE,48,indore,Madhya Pradesh,25-09-2023,Regular,Active,167981.62
100063,Smita Mandal,Female,0,Gurugram,Haryana,09-02-2024,Regular,Active,146080.31
100064,Kaushik Chakraborty,Female,57,visakhapatnam,Andhra Pradesh,18-02-2024,Platinum,Active,172726.43
